presynaptic_ID;counts;postsynaptic_ID;symbol;optic_lobe_id;hemisphere;dorso-ventral
720575940612487630;36;720575940633269971;L3;R32;R;V
720575940612413026;25;720575940633269971;CT1;R32;R;V
720575940654872737;13;720575940633269971;Mi4;R32;R;V
720575940626330969;13;720575940633269971;Tm16;R32;R;V
720575940626044942;7;720575940633269971;OA-AL2b2;R32;R;V
720575940631237431;7;720575940633269971;pMP7;R32;R;V
720575940629502538;5;720575940633269971;PS125;R32;R;V
720575940623345878;4;720575940633269971;Dm12;R32;R;V
720575940636649652;4;720575940633269971;Tm16;R32;R;V
720575940623576211;4;720575940633269971;Dm10;R32;R;V
720575940623561165;3;720575940633269971;C2;R32;R;V
720575940611920594;2;720575940633269971;;R32;R;V
720575940627172248;2;720575940633269971;Mi4;R32;R;V
720575940612927473;2;720575940633269971;;R32;R;V
720575940605935025;2;720575940633269971;;R32;R;V
720575940622410736;2;720575940633269971;;R32;R;V
720575940625964377;2;720575940633269971;;R32;R;V
720575940625058568;2;720575940633269971;;R32;R;V
720575940622800154;1;720575940633269971;;R32;R;V
720575940608911113;1;720575940633269971;;R32;R;V
720575940629740538;1;720575940633269971;;R32;R;V
720575940643722440;1;720575940633269971;;R32;R;V
720575940624817191;1;720575940633269971;;R32;R;V
720575940536239799;1;720575940633269971;;R32;R;V
720575940634360546;1;720575940633269971;;R32;R;V
720575940536350391;1;720575940633269971;;R32;R;V
720575940635295083;1;720575940633269971;L3;R32;R;V
720575940628289413;1;720575940633269971;L3;R32;R;V
720575940613612394;1;720575940633269971;TmY17;R32;R;V
720575940624018628;1;720575940633269971;Tm16;R32;R;V
720575940632286924;1;720575940633269971;;R32;R;V
720575940632507919;1;720575940633269971;TmY15;R32;R;V
720575940624353065;1;720575940633269971;;R32;R;V
720575940582426176;1;720575940633269971;;R32;R;V
720575940626949925;1;720575940633269971;;R32;R;V
720575940626136862;37;720575940625889155;L3;R13;R;D
720575940620492404;30;720575940625889155;Mi4;R13;R;D
720575940612413026;29;720575940625889155;CT1;R13;R;D
720575940630437826;11;720575940625889155;C2;R13;R;D
720575940629502538;9;720575940625889155;PS125;R13;R;D
720575940640513358;8;720575940625889155;chunk-N.I.;R13;R;D
720575940620526512;7;720575940625889155;Tm16;R13;R;D
720575940629907984;6;720575940625889155;Tm16;R13;R;D
720575940625039031;6;720575940625889155;Dm12;R13;R;D
720575940625351780;5;720575940625889155;C3;R13;R;D
720575940605087520;5;720575940625889155;N.I.;R13;R;D
720575940621283348;4;720575940625889155;Tm16;R13;R;D
720575940661271937;3;720575940625889155;ML1;R13;R;D
720575940619505902;3;720575940625889155;Tm20;R13;R;D
