XYZ-ME;symbol;hemisphere;seg_id;optic_lobe_id;dorso-ventral
182116.0,75129.0,2484.0;Tm9;R;720575940615761570;R1;V
181221.0,71952.0,2523.0;Tm9;R;720575940630668871;R2;V
190086.0,85837.0,3281.0;Tm9;R;720575940627187849;R3;V
195500.0,50706.0,3987.0;Tm9;R;720575940633362131;R4;D
195267.0,48669.0,3884.0;Tm9;R;720575940612657522;R5;D
199314.0,68960.0,3401.0;Tm9;R;720575940618481733;R6;D
202562.0,57002.0,4241.0;Tm9;R;720575940629750844;R7;D
199343.0,55328.0,3938.0;Tm9;R;720575940614557708;R8;D
204020.0,66702.0,3898.0;Tm9;R;720575940621766365;R9;D
208318.0,59120.0,5251.0;Tm9;R;720575940634430456;R10;D
185473.0,53620.0,2963.0;Tm9;R;720575940637446990;R11;D
184055.0,67716.0,2519.0;Tm9;R;720575940615404812;R12;D
199944.0,70462.0,3486.0;Tm9;R;720575940625889155;R13;D
196664.0,46197.0,4355.0;Tm9;R;720575940610056654;R14;D
192951.0,47884.0,3776.0;Tm9;R;720575940630186571;R15;D
195363.0,90789.0,4280.0;Tm9;R;720575940659650945;R16;V
204464.0,71294.0,4152.0;Tm9;R;720575940628721307;R17;D
205574.0,79752.0,4539.0;Tm9;R;720575940624447015;R18;V
177690.0,83038.0,2707.0;Tm9;R;720575940626579087;R19;V
204922.0,72633.0,4120.0;Tm9;R;720575940642642996;R20;D
205690.0,75890.0,4438.0;Tm9;R;720575940642871604;R21;V
204395.0,80544.0,4359.0;Tm9;R;720575940632064331;R22;V
191032.0,56345.0,3064.0;Tm9;R;720575940630963275;R23;D
195811.0,87406.0,3940.0;Tm9;R;720575940627342408;R24;V
193919.0,84738.0,3452.0;Tm9;R;720575940626985482;R25;V
192914.0,54628.0,3361.0;Tm9;R;720575940625769418;R26;D
180648.0,76541.0,2582.0;Tm9;R;720575940636474286;R27;V
184227.0,74465.0,2526.0;Tm9;R;720575940614954143;R28;V
201104.0,82268.0,4009.0;Tm9;R;720575940631685587;R29;V
189864.0,86775.0,3298.0;Tm9;R;720575940608295433;R30;V
193530.0,85478.0,3460.0;Tm9;R;720575940623587939;R31;V
195618.0,92635.0,4359.0;Tm9;R;720575940633269971;R32;V
197514.0,87171.0,4013.0;Tm9;R;720575940629511874;R33;V
202604.0,84289.0,4514.0;Tm9;R;720575940637612429;R34;V
196402.0,92618.0,4704.0;Tm9;R;720575940621604822;R35;V
192455.0,61272.0,2990.0;Tm9;R;720575940619169752;R36;D
201164.0,55395.0,4162.0;Tm9;R;720575940609798386;R37;D
199432.0,89468.0,4668.0;Tm9;R;720575940619784545;R38;V
196992.0,56249.0,3527.0;Tm9;R;720575940617429131;R39;D
188128.0,76104.0,2792.0;Tm9;R;720575940626513173;R40;V
208918.0,61176.0,5210.0;Tm9;R;720575940627182327;R41;D
203074.0,85828.0,4556.0;Tm9;R;720575940637255821;R42;V
204074.0,85869.0,4835.0;Tm9;R;720575940638358643;R43;V
195584.0,88780.0,3997.0;Tm9;R;720575940632804453;R44;V
192243.0,89102.0,3711.0;Tm9;R;720575940608822281;R45;V
199818.0,66454.0,3424.0;Tm9;R;720575940608983235;R46;D
188442.0,95178.0,4222.0;Tm9;R;720575940622202582;R47;V
195414.0,54552.0,3519.0;Tm9;R;720575940631324985;R48;D
199552.0,77571.0,3521.0;Tm9;R;720575940640432848;R49;V
192115.0,93496.0,4293.0;Tm9;R;720575940616591755;R50;V
192282.0,80398.0,3013.0;Tm9;R;720575940622199688;R51;V
187736.0,72489.0,2707.0;Tm9;R;720575940630105964;R52;V
202490.0,81802.0,4155.0;Tm9;R;720575940620189934;R53;V
194924.0,65786.0,3115.0;Tm9;R;720575940632213646;R54;D
190650.0,68842.0,2656.0;Tm9;R;720575940612404502;R55;D
197048.0,83342.0,3663.0;Tm9;R;720575940623302035;R56;V
